Date,Transaction Type,Serial Number,Description,Amount,Daily Posted Balance
01/03/2022,Debit,00000000000,GLOBAL PAYMENTS  GLOBAL STL 8788 210011971     5469221406,($4.95),$148132.04
01/03/2022,Debit,00000000000,BILL.COM         PAYABLES   016Z VFUYE22JUBK   1204895317,($2408.69),$145723.35
01/04/2022,Debit,00000000000,AUTHNET GATEWAY  BILLING    1207 02876         1870568569,($25),$145698.35
01/04/2022,Debit,00000000000,INDUSTRIOUS TECH INDUSTRIOU ST-V 0Q2W8C3Y1X0   4270465600,($50),$145648.35
01/04/2022,Debit,00000000000,GUSTO            FEE 606839 6SEM JQUUNNQ       2453942850,($51),$145597.35
01/04/2022,Debit,00000000000,BILL.COM         PAYABLES   016X JKJEN22LSKU   1204895317,($750),$144847.35
01/04/2022,Debit,00000000000,TRUIST BANK      CL PAYMENT 0006 997848        9051000020,($1624.72),$143222.63
01/05/2022,Debit,00000000000,BILL.COM         PAYABLES   016K DADEE22NJSJ   1204895317,($14475),$128747.63
01/06/2022,Debit,00000000000,BILL.COM         PAYABLES   016P QQUJA22POF0   1204895317,($10333.75),$118413.88
01/07/2022,Debit,00000000000,PAYPAL           DEBIT      R220 10610838427   E204791216,($2242.37),$116171.51
01/10/2022,Debit,00000000000,BILL.COM         PAYABLES   016B GRNKL22TMOR   1204895317,($3000),$113171.51
01/11/2022,Debit,00000000000,CAPITAL ONE      CRCARDPMT  3L11 QR2KP1MX08K   9541719018,($129),$113042.51
01/11/2022,Debit,00000000000,USAA CREDIT CARD PAYMENT    9967 90304023259   3140742690,($231),$112811.51
01/11/2022,Debit,00000000000,CAPITAL ONE      CRCARDPMT  3L11 TK95C7MO6HO   9541719018,($611),$112200.51
01/11/2022,Debit,00000000000,BILL.COM         PAYABLES   016Z DJAPG22VU3Y   1204895317,($541.12),$111659.39
01/12/2022,Debit,00000000000,UNITED HEALTHCAR EDI PAYMTS 5401 68122472      1411289245,($2317.32),$109342.07
01/12/2022,Debit,00000000000,BILL.COM         PAYABLES   016O FFHAD22XX07   1204895317,($4170),$105172.07
01/13/2022,Debit,00000000000,GUSTO            TAX 772993 6SEM JR0PEM1       9138864001,($4831.52),$100340.55
01/13/2022,Debit,00000000000,GUSTO            NET 772991 6SEM JR0PEK4       9138864001,($8135.02),$92205.53
01/14/2022,Debit,00000000000,PAYPAL           DEBIT      R220 11310872797   E204791216,($2242.37),$89963.16
01/14/2022,Debit,00000000000,BILL.COM         PAYABLES   016W AMXUF231Y7U   1204895317,($2500),$87463.16
